[02:33:08] src/nnvm/legacy_json_util.cc:190: Loading symbol saved by previous version v0.8.0. Attempting to upgrade...
[02:33:08] src/nnvm/legacy_json_util.cc:198: Symbol successfully upgraded!
note: caffe model don't have 'flatten0', but 'flatten_0'
[02:33:08] src/io/iter_image_recordio.cc:220: ImageRecordIOParser: ../../data/ism-train_train.rec, use 4 threads for decoding..
[02:33:08] src/io/iter_image_recordio.cc:220: ImageRecordIOParser: ../../data/ism-train_val.rec, use 4 threads for decoding..
2017-07-21 02:33:37,384 Epoch[0] Batch [10]	Speed: 30.54 samples/sec	Train-accuracy=0.450000
2017-07-21 02:33:57,034 Epoch[0] Batch [20]	Speed: 30.54 samples/sec	Train-accuracy=0.578333
2017-07-21 02:34:16,687 Epoch[0] Batch [30]	Speed: 30.53 samples/sec	Train-accuracy=0.500000
2017-07-21 02:34:28,554 Epoch[0] Train-accuracy=0.522222
2017-07-21 02:34:28,554 Epoch[0] Time cost=73.362
2017-07-21 02:34:30,206 Saved checkpoint to "../../models/pretrained-models/vgg-16/vgg16-train-224-lr-0.01-0001.params"
2017-07-21 02:34:31,414 Epoch[0] Validation-accuracy=0.650000
2017-07-21 02:34:51,661 Epoch[1] Batch [10]	Speed: 30.58 samples/sec	Train-accuracy=0.515152
2017-07-21 02:35:11,310 Epoch[1] Batch [20]	Speed: 30.54 samples/sec	Train-accuracy=0.526667
2017-07-21 02:35:30,888 Epoch[1] Batch [30]	Speed: 30.65 samples/sec	Train-accuracy=0.543333
2017-07-21 02:35:40,671 Epoch[1] Train-accuracy=0.366667
2017-07-21 02:35:40,671 Epoch[1] Time cost=69.257
2017-07-21 02:35:42,134 Saved checkpoint to "../../models/pretrained-models/vgg-16/vgg16-train-224-lr-0.01-0002.params"
2017-07-21 02:35:43,483 Epoch[1] Validation-accuracy=0.650000
2017-07-21 02:36:03,696 Epoch[2] Batch [10]	Speed: 30.64 samples/sec	Train-accuracy=0.583333
2017-07-21 02:36:23,264 Epoch[2] Batch [20]	Speed: 30.66 samples/sec	Train-accuracy=0.531667
2017-07-21 02:36:42,843 Epoch[2] Batch [30]	Speed: 30.65 samples/sec	Train-accuracy=0.511667
2017-07-21 02:36:52,633 Epoch[2] Train-accuracy=0.553333
2017-07-21 02:36:52,634 Epoch[2] Time cost=69.150
2017-07-21 02:36:54,078 Saved checkpoint to "../../models/pretrained-models/vgg-16/vgg16-train-224-lr-0.01-0003.params"
2017-07-21 02:36:55,236 Epoch[2] Validation-accuracy=0.358333
2017-07-21 02:37:15,569 Epoch[3] Batch [10]	Speed: 30.65 samples/sec	Train-accuracy=0.571212
2017-07-21 02:37:35,186 Epoch[3] Batch [20]	Speed: 30.59 samples/sec	Train-accuracy=0.536667
2017-07-21 02:37:54,787 Epoch[3] Batch [30]	Speed: 30.61 samples/sec	Train-accuracy=0.546667
2017-07-21 02:38:06,552 Epoch[3] Train-accuracy=0.527778
2017-07-21 02:38:06,552 Epoch[3] Time cost=71.315
2017-07-21 02:38:07,998 Saved checkpoint to "../../models/pretrained-models/vgg-16/vgg16-train-224-lr-0.01-0004.params"
2017-07-21 02:38:09,166 Epoch[3] Validation-accuracy=0.366667
2017-07-21 02:38:29,339 Epoch[4] Batch [10]	Speed: 30.66 samples/sec	Train-accuracy=0.510606
2017-07-21 02:38:48,913 Epoch[4] Batch [20]	Speed: 30.65 samples/sec	Train-accuracy=0.595000
2017-07-21 02:39:08,507 Epoch[4] Batch [30]	Speed: 30.62 samples/sec	Train-accuracy=0.510000
2017-07-21 02:39:18,292 Epoch[4] Train-accuracy=0.526667
2017-07-21 02:39:18,292 Epoch[4] Time cost=69.126
2017-07-21 02:39:19,741 Saved checkpoint to "../../models/pretrained-models/vgg-16/vgg16-train-224-lr-0.01-0005.params"
2017-07-21 02:39:20,906 Epoch[4] Validation-accuracy=0.650000
2017-07-21 02:39:41,097 Epoch[5] Batch [10]	Speed: 30.63 samples/sec	Train-accuracy=0.562121
2017-07-21 02:40:00,654 Epoch[5] Batch [20]	Speed: 30.68 samples/sec	Train-accuracy=0.586667
